STU_ID,X1TXMTSCOR,X1PAREDU,X1SES,X1MTHINT,X1SCIINT,X2TXMTSCOR,X2PAREDU,X2BEHAVEIN,X2MTHINT_R,X2SCIINT,X3TGPAHIMTH,X3TGPAHISCI,X3TGPAACAD,X3TGPASTEM,X4X2SES,X5GPAALL,S1GOODGRADES,S1HRMHOMEWK,S1HRSHOMEWK,S1HROTHHOMWK,S1HRACTIVITY,S1HRTV,S1HRVIDEO,S1HRONLINE,S2LATESCH,S2ABSENT,S2WOHWDN,S2WOPAPER,S2WOBOOKS,S2SKIPCLASS,S2INSCHSUSP,S2OUTSCHSUSP,S2DISCIPLINE,S2EXPELLED,S2ARRESTED,S2JUVHOME,A1SCHCONTROL,A1MTHSCIFAIR,A1MSSUMMER,A1MSAFTERSCH,A1MSMENTOR,A1MSSPEAKER,A1MSFLDTRIP,A1MSPRGMS,A1HRTEACHERS,A1HRSTUDENT,A1TCHRABSENT,A1PRNTINV,A1UNPREP,A1HEALTH,A1RESOURCES,C1PLANPARENT,C1SIGNOFF
10001.0,59.371,5.0,1.5644,0.12,-0.23,68.6447,6.0,-2.17,-0.21,0.34,3.0,3.0,3.5,3.0,1.5184,3,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,2.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,1.0,2.0,-7.0,-7.0
10002.0,47.6821,3.0,-0.3699,-9.0,-9.0,54.0863,4.0,0.61,-0.6,-0.83,2.5,4.0,4.0,4.0,-0.1124,1,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,2.0,3.0,3.0,3.0,2.0,-9.0,-9.0
10003.0,64.2431,7.0,1.2741,0.86,0.93,55.6336,7.0,0.52,-1.39,-1.61,2.0,2.0,2.5,2.5,0.9986,1,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0
10006.0,58.1268,3.0,1.0639,2.08,-7.0,53.9958,5.0,0.89,-7.0,-9.0,3.0,4.0,3.0,3.0,0.3086,1,4.0,2.0,-7.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,-9.0,4.0,4.0,2.0,2.0,1.0,1.0
10007.0,49.496,2.0,-0.43,2.08,0.16,47.6403,2.0,0.39,-0.47,-1.19,1.5,2.0,2.5,2.0,0.3021,0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10008.0,54.6249,7.0,1.5144,-1.13,-0.21,62.8079,7.0,0.61,-7.0,-7.0,2.5,3.0,3.5,3.0,0.5543,2,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,3.0,2.0,2.0,2.0,2.0,2.0,-7.0,-7.0
10009.0,53.1875,2.0,-0.3103,-7.0,-1.05,59.8127,3.0,0.34,-1.25,-7.0,3.0,4.0,3.5,3.5,0.2557,1,1.0,-7.0,1.0,2.0,6.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,0.0
10011.0,56.5005,5.0,1.2058,1.35,-7.0,44.3076,6.0,-2.39,0.06,-7.0,3.5,3.0,3.0,3.0,0.8288,1,1.0,3.0,-7.0,1.0,4.0,5.0,1.0,2.0,2.0,1.0,5.0,5.0,4.0,3.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0
10012.0,67.6823,7.0,2.4996,-0.36,0.49,61.5733,7.0,0.1,-0.6,-0.48,3.5,4.0,4.0,4.0,1.5527,3,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
10015.0,53.4016,4.0,0.9973,-7.0,0.54,53.8011,5.0,0.71,-7.0,-7.0,3.0,4.0,4.0,4.0,1.6366,3,1.0,-7.0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-9.0,-9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
