STU_ID,X1TXMTSCOR,X1PAREDU,X1SES,X1MTHINT,X1SCIINT,X2TXMTSCOR,X2PAREDU,X2BEHAVEIN,X2MTHINT_R,X2SCIINT,X3TGPAHIMTH,X3TGPAHISCI,X3TGPAACAD,X3TGPASTEM,X4X2SES,X5GPAALL,S1GOODGRADES,S1HRMHOMEWK,S1HRSHOMEWK,S1HROTHHOMWK,S1HRACTIVITY,S1HRTV,S1HRVIDEO,S1HRONLINE,S2LATESCH,S2ABSENT,S2WOHWDN,S2WOPAPER,S2WOBOOKS,S2SKIPCLASS,S2INSCHSUSP,S2OUTSCHSUSP,S2DISCIPLINE,S2EXPELLED,S2ARRESTED,S2JUVHOME,A1SCHCONTROL,A1MTHSCIFAIR,A1MSSUMMER,A1MSAFTERSCH,A1MSMENTOR,A1MSSPEAKER,A1MSFLDTRIP,A1MSPRGMS,A1HRTEACHERS,A1HRSTUDENT,A1TCHRABSENT,A1PRNTINV,A1UNPREP,A1HEALTH,A1RESOURCES,C1PLANPARENT,C1SIGNOFF
10001,59.371,5,1.5644,0.12,-0.23,68.6447,6,-2.17,-0.21,0.34,3.0,3.0,3.5,3.0,1.5184,3,1,1,1,1,3,2,1,1,3,2,2,5,5,2,1,-7,-7,-7,-7,-7,1,1,0,0,1,1,1,1,5,3,1,2,1,1,2,-7,-7
10002,47.6821,3,-0.3699,-9.0,-9.0,54.0863,4,0.61,-0.6,-0.83,2.5,4.0,4.0,4.0,-0.1124,1,1,2,1,4,2,2,1,2,2,2,1,2,1,1,1,-7,-7,-7,-7,-7,1,0,0,0,0,0,0,0,7,9,2,3,3,3,2,-9,-9
10003,64.2431,7,1.2741,0.86,0.93,55.6336,7,0.52,-1.39,-1.61,2.0,2.0,2.5,2.5,0.9986,1,1,2,2,2,3,1,1,3,2,2,3,1,1,1,1,-7,-7,-7,-7,-7,1,0,0,0,1,0,1,1,15,5,2,2,2,2,2,1,0
10006,58.1268,3,1.0639,2.08,-7.0,53.9958,5,0.89,-7.0,-9.0,3.0,4.0,3.0,3.0,0.3086,1,4,2,-7,1,4,3,1,1,2,2,1,1,1,1,1,-7,-7,-7,-7,-7,1,0,0,0,0,1,0,0,3,6,-9,4,4,2,2,1,1
10007,49.496,2,-0.43,2.08,0.16,47.6403,2,0.39,-0.47,-1.19,1.5,2.0,2.5,2.0,0.3021,0,2,1,1,1,1,1,1,1,1,4,3,1,1,1,1,-7,-7,-7,-7,-7,1,1,0,1,0,1,1,1,8,6,1,1,1,1,1,1,1
10008,54.6249,7,1.5144,-1.13,-0.21,62.8079,7,0.61,-7.0,-7.0,2.5,3.0,3.5,3.0,0.5543,2,1,1,1,2,3,1,1,1,1,1,1,2,2,1,1,-7,-7,-7,-7,-7,1,0,0,0,0,0,0,1,15,3,2,2,2,2,2,-7,-7
10009,53.1875,2,-0.3103,-7.0,-1.05,59.8127,3,0.34,-1.25,-7.0,3.0,4.0,3.5,3.5,0.2557,1,1,-7,1,2,6,4,2,1,1,1,4,1,1,2,1,-7,-7,-7,-7,-7,1,0,0,0,0,1,0,0,5,1,1,4,3,1,2,1,0
10011,56.5005,5,1.2058,1.35,-7.0,44.3076,6,-2.39,0.06,-7.0,3.5,3.0,3.0,3.0,0.8288,1,1,3,-7,1,4,5,1,2,2,1,5,5,4,3,1,-7,-7,-7,-7,-7,1,0,0,1,0,0,1,0,2,5,1,3,3,2,3,1,1
10012,67.6823,7,2.4996,-0.36,0.49,61.5733,7,0.1,-0.6,-0.48,3.5,4.0,4.0,4.0,1.5527,3,1,2,1,3,3,1,1,1,1,2,3,2,2,1,1,-7,-7,-7,-7,-7,2,1,0,1,0,0,0,1,10,10,1,1,2,1,1,1,0
10015,53.4016,4,0.9973,-7.0,0.54,53.8011,5,0.71,-7.0,-7.0,3.0,4.0,4.0,4.0,1.6366,3,1,-7,3,4,2,3,1,2,3,2,1,1,1,1,1,-7,-7,-7,-7,-7,1,0,0,0,1,0,0,1,-9,-9,1,2,1,1,1,1,1
